region;provincia;distrito;ciudad;subdivision;unidad;edad;marital;direcc;ingres;ingcat;coche;cochecat;educ;empleo;retirado;empcat;satlab;genero;residen;inalam;multline;voz;busca;internet;idllam;espera;tv;video;cd;pda;pc;fax;noticias;respuest;ProbabilidadIncl_1_;ProbabilidadIncl_2_;PonderacMuestral_Final_
1;2;7;190;946;94502;50;0;18;42;2;20.6;1;4;8;0;2;5;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94506;38;1;9;22;1;10.9;1;2;7;0;2;2;1;4;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94511;21;1;1;21;1;10.7;1;2;1;0;1;1;0;3;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94512;50;0;13;39;2;19.4;1;3;11;0;2;4;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94513;41;1;2;39;2;19.4;1;5;4;0;1;3;1;4;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94514;46;0;14;78;4;40;2;4;9;0;2;5;1;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94515;59;1;26;84;4;39;2;2;18;0;3;4;1;4;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94522;71;1;16;12;1;5.9;1;1;13;1;2;4;0;2;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94524;57;0;23;23;1;11.4;1;1;14;1;2;4;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
1;2;7;190;946;94529;42;0;7;70;3;34.9;2;1;5;0;2;3;1;2;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;.204545454545455;244.444.444.444.444;244.444.444.444.444
