"sepal length","sepal width","petal length","petal width","class"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Medio","PW-Medio","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Medio","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Medio","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Medio","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Medio","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Medio","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Medio","PW-Medio","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Medio","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Medio","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Medio","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Bajo","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Medio","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Medio","PW-Medio","Iris-setosa"
"SL-Bajo","SW-Medio","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Medio","SW-Muy Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Bajo","SW-Alto","PL-Bajo","PW-Bajo","Iris-setosa"
"SL-Muy Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Muy Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Muy Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Alto","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Bajo","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Muy Alto","SW-Medio","PL-Alto","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Alto","Iris-versicolor"
"SL-Bajo","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Medio","PL-Medio","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Medio","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Muy Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Alto","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Medio","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Muy Alto","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Muy Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Muy Alto","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Muy Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Muy Alto","SW-Alto","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Alto","SW-Bajo","PL-Alto","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Medio","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Alto","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Medio","PL-Alto","PW-Alto","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Bajo","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Medio","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Medio","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Medio","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Bajo","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Medio","SW-Bajo","PL-Medio","PW-Medio","Iris-versicolor"
"SL-Alto","SW-Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Medio","SW-Bajo","PL-Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Medio","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Bajo","SW-Bajo","PL-Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Bajo","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Muy Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Alto","PL-Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Medio","SW-Bajo","PL-Alto","PW-Muy Alto","Iris-virginica"
"SL-Medio","SW-Bajo","PL-Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Muy Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Bajo","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Medio","SW-Bajo","PL-Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Bajo","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Alto","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-virginica"
"SL-Alto","SW-Medio","PL-Alto","PW-Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Bajo","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Muy Alto","SW-Muy Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Alto","PW-Alto","Iris-virginica"
"SL-Alto","SW-Bajo","PL-Muy Alto","PW-Alto","Iris-virginica"
"SL-Muy Alto","SW-Medio","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
"SL-Alto","SW-Muy Alto","PL-Muy Alto","PW-Muy Alto","Iris-virginica"
